occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,name_to_use,description_text,check_ENA_with_GBIF,manual_verification_needed
,Tapinopterus cognatus,"Tapinopterus cognatus (Dejean, 1831)",4472373,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Tapinopterus,Tapinopterus cognatus,Tapinopterus cognatus,"(Dejean, 1831) ",4472373,,original,,,
,Epaphius ochreatus,"Epaphius Leach, 1819",4404738,HIGHERRANK,95,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Epaphius,,Epaphius,"Leach, 1819",4404738,,original,,,yes
,Trechus bosnicus,"Trechus bosnicus Ganglbauer, 1891",4476339,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Trechus,Trechus bosnicus,Trechus bosnicus,"Ganglbauer, 1891",4476339,,original,,,
,Pterostichus findelii,"Pterostichus findelii (Dejean, 1828)",8120771,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus findelii,Pterostichus findelii,"(Dejean, 1828) ",8120771,,original,,,
,Myzostoma glabrum,"Myzostoma glabrum Graff, 1877",2317330,EXACT,99,ACCEPTED,SPECIES,Animalia,Annelida,Polychaeta,Phyllodocida,Myzostomatidae,Myzostoma,Myzostoma glabrum,Myzostoma glabrum,"Graff, 1877",2317330,,original,,,
,Anthaxia hackeri,"Anthaxia hackeri Frivaldszky, 1884",4431823,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Anthaxia,Anthaxia hackeri,Anthaxia hackeri,"Frivaldszky, 1884",4431823,,original,,,
,Acupalpus notatus,"Acupalpus notatus Mulsant & Rey, 1861",8299239,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Acupalpus,Acupalpus notatus,Acupalpus notatus,"Mulsant & Rey, 1861",8299239,,original,,,
,Agonum impressum,"Agonum impressum (Panzer, 1796)",5755063,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,Agonum impressum,Agonum impressum,"(Panzer, 1796) ",5755063,,original,,,
,Amara fusca,"Amara fusca Dejean, 1828",4473093,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara fusca,Amara fusca,"Dejean, 1828",4473093,,original,,,
,Amara cuniculina,"Amara cuniculina Dejean, 1831",4472969,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara cuniculina,Amara cuniculina,"Dejean, 1831",4472969,,original,,,
,Amara glabrata,"Amara glabrata Dejean, 1828",4472806,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara glabrata,Amara glabrata,"Dejean, 1828",4472806,,original,,,
,Anthaxia olivieri,"Anthaxia olivieri Gory & Laporte, 1839",4431824,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Anthaxia,Anthaxia olivieri,Anthaxia olivieri,"Gory & Laporte, 1839",4431824,,original,,,
,Amara schimperi,"Amara schimperi Wencker, 1866",4472870,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara schimperi,Amara schimperi,"Wencker, 1866",4472870,,original,,,
,Amara nobilis,"Amara nobilis (Duftschmid, 1812)",9082201,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara nobilis,Amara nobilis,"(Duftschmid, 1812) ",9082201,,original,,,
,Amara montana,"Amara montana Dejean, 1828",4472931,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara montana,Amara montana,"Dejean, 1828",4472931,,original,,,
,Amara erythrocnema,"Amara erythrocnema Dejean, 1828",4472817,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara erythrocnema,Amara erythrocnema,"Dejean, 1828",4472817,,original,,,
,Amblystomus mauritanicus,"Amblystomus mauritanicus (Dejean, 1829)",4475642,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amblystomus,Amblystomus mauritanicus,Amblystomus mauritanicus,"(Dejean, 1829) ",4475642,,original,,,
,Amara misella,"Amara misella L.Miller, 1868",4472955,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara misella,Amara misella,"L.Miller, 1868",4472955,,original,,,
,Acmaeoderella virgulata,"Acmaeoderella virgulata (Illiger, 1803)",4431247,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Acmaeoderella,Acmaeoderella virgulata,Acmaeoderella virgulata,"(Illiger, 1803) ",4431247,,original,,,
,Agonum sordidum,"Agonum sordidum Dejean, 1828",5755030,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,Agonum sordidum,Agonum sordidum,"Dejean, 1828",5755030,,original,,,
,Amara alpestris,"Amara alpestris A. & G.B.Villa, 1833",4473067,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara alpestris,Amara alpestris,"A. & G.B.Villa, 1833",4473067,,original,,,
,Amara cardui,"Amara cardui Dejean, 1831",4473062,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara cardui,Amara cardui,"Dejean, 1831",4473062,,original,,,
,Amara rufoaenea,"Amara rufoaenea Dejean, 1828",4472977,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara rufoaenea,Amara rufoaenea,"Dejean, 1828",4472977,,original,,,
,Bembidion brunnicornis,"Bembidion brunnicorne Dejean, 1831",7596481,FUZZY,96,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,Bembidion brunnicorne,Bembidion brunnicorne,"Dejean, 1831",7596481,,gbif,,yes,yes
,Bembidion dufourii,"Bembidion dufourii Perris, 1864",4478588,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,Bembidion dufourii,Bembidion dufourii,"Perris, 1864",4478588,,original,,,
,Brachinus bellicosus,"Brachinus bellicosus L.Dufour, 1820",4474904,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus bellicosus,Brachinus bellicosus,"L.Dufour, 1820",4474904,,original,,,
,Brachinus immaculicornis,"Brachinus immaculicornis Dejean, 1826",4474875,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Brachinus,Brachinus immaculicornis,Brachinus immaculicornis,"Dejean, 1826",4474875,,original,,,
