verbatimScientificName	description
Anisosticta strigata	https://www.gbif.org/species/4452219
Rhagonycha kiesenwetteri	https://www.gbif.org/species/4429690
Rhagonycha kuleghana	https://www.gbif.org/species/4429829
Notoxus miles	https://www.gbif.org/species/4457601
Nephus nigricans	https://www.gbif.org/species/7961458
Lithophilus cordatus	https://www.gbif.org/species/8883553
Rhagonycha nitida	https://www.gbif.org/species/4429660
Rhagonycha ornaticollis	https://www.gbif.org/species/4429777
Nephus ludyi	https://www.gbif.org/species/7731704
Oenopia oncina	https://www.gbif.org/species/9215879
Myrrha thuriferae	https://www.gbif.org/species/4452245
Pharoscymnus setulosus	https://www.gbif.org/species/4452478
Rhyzobius bipartitus	https://www.gbif.org/species/7805732
Rhagonycha patricia	https://www.gbif.org/species/4429734
Lithophilus connatus	https://www.gbif.org/species/9032731
Scymnobius bivulnerus	https://www.gbif.org/species/1043155
Scymnus mediterraneus	https://www.gbif.org/species/6993789
Scymnus limnichoides	https://www.gbif.org/species/8718836
Scymnus damryi	https://www.gbif.org/species/7441581
Scymnus franzi	https://www.gbif.org/species/8768308
Scymnus marginalis	https://www.gbif.org/species/7630605
Dichelotarsus procerulus	https://www.gbif.org/species/4429556
Nephus kiesenwetteri	https://www.gbif.org/species/7766426
Nephus flavopictus	https://www.gbif.org/species/8898756
Scymnus quadriguttatus	https://www.gbif.org/species/8928456
Stethorus balearicus	https://www.gbif.org/species/4452309
Scymnus flagellisiphonatus	https://www.gbif.org/species/7557919
Anthicus angustatus	https://www.gbif.org/species/4458027
Scymnus fraxini	https://www.gbif.org/species/8313503
Anthrenus munroi	https://www.gbif.org/species/4427316
Anthrenus coloratus	https://www.gbif.org/species/1095893
Anthrenus flavidus	https://www.gbif.org/species/4427293
Anthrenus olgae	https://www.gbif.org/species/4427298
Anthrenus sordidulus	https://www.gbif.org/species/4427290
Anthrenus delicatus	https://www.gbif.org/species/4427308
Anthrenus molitor	https://www.gbif.org/species/4427296
Attagenus abbreviatus	https://www.gbif.org/species/4427477
Attagenus civetta	https://www.gbif.org/species/4427460
Attagenus lynx	https://www.gbif.org/species/4427472
Attagenus obtusus	https://www.gbif.org/species/4427451
Attagenus posticalis	https://www.gbif.org/species/4427482
Attagenus wollastoni	https://www.gbif.org/species/4427471
Attagenus escalerai	https://www.gbif.org/species/7507314
Attagenus cyphonoides	https://www.gbif.org/species/1095951
Attagenus lobatus	https://www.gbif.org/species/1095952
