occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,Cratosilis laeta,"Cratosilis laeta (Fabricius, 1792)",4429597,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cratosilis,Cratosilis laeta,Cratosilis laeta,"(Fabricius, 1792) ",4429597,
,Macrocerus kadleci,"Macrocerus kadleci Švihla, 2002",8980055,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Macrocerus,Macrocerus kadleci,Macrocerus kadleci,"Švihla, 2002",8980055,
,Macrocerus sinuatocollis,"Macrocerus sinuatocollis (Kiesenwetter, 1852)",8793496,EXACT,99,DOUBTFUL,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Macrocerus,Macrocerus sinuatocollis,Macrocerus sinuatocollis,"(Kiesenwetter, 1852) ",8793496,
,Macrocerus tunicatus,"Macrocerus tunicatus (Kiesenwetter, 1863)",7565586,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Macrocerus,Macrocerus tunicatus,Macrocerus tunicatus,"(Kiesenwetter, 1863) ",7565586,
,Malthinus axillaris,"Malthinus axillaris Kiesenwetter, 1852",4430291,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus axillaris,Malthinus axillaris,"Kiesenwetter, 1852",4430291,
,Malthinus diffusus,"Malthinus diffusus Kiesenwetter, 1865",4430232,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus diffusus,Malthinus diffusus,"Kiesenwetter, 1865",4430232,
,Malthinus geniculatus,"Malthinus geniculatus Kiesenwetter, 1859",4430360,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus geniculatus,Malthinus geniculatus,"Kiesenwetter, 1859",4430360,
,Malthinus ganesh,"Malthinus Latreille, 1806",4406159,HIGHERRANK,96,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,,Malthinus,"Latreille, 1806",4406159,
,Malthinus mutabilis,"Malthinus mutabilis Wollaston, 1862",4430385,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus mutabilis,Malthinus mutabilis,"Wollaston, 1862",4430385,
,Malthinus rhaphidiceps,"Malthinus rhaphidiceps Kiesenwetter, 1852",4430348,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus rhaphidiceps,Malthinus rhaphidiceps,"Kiesenwetter, 1852",4430348,
,Malthinus scapularis,"Malthinus scapularis Marseul, 1877",4430269,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus scapularis,Malthinus scapularis,"Marseul, 1877",4430269,
,Malthinus scriptus,"Malthinus scriptus Kiesenwetter, 1852",4430390,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus scriptus,Malthinus scriptus,"Kiesenwetter, 1852",4430390,
,Malthinus turcicus,Malthinus turcicus Pic,4430242,EXACT,100,SYNONYM,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus dalmatinus,Malthinus turcicus,Pic,4430242,4430307
,Malthodes alpicola,"Malthodes alpicola Kiesenwetter, 1852",4430595,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes alpicola,Malthodes alpicola,"Kiesenwetter, 1852",4430595,
,Malthodes argivus,"Malthodes argivus Kiesenwetter, 1859",4430520,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes argivus,Malthodes argivus,"Kiesenwetter, 1859",4430520,
,Malthodes berytensis,"Malthodes berytensis Reiche, 1857",4430762,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes berytensis,Malthodes berytensis,"Reiche, 1857",4430762,
,Malthodes bifurcatus,"Malthodes bifurcatus Kiesenwetter, 1852",4430726,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes bifurcatus,Malthodes bifurcatus,"Kiesenwetter, 1852",4430726,
,Malthodes chelifer,"Malthodes chelifer (Kiesenwetter, 1851)",4430505,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes chelifer,Malthodes chelifer,"(Kiesenwetter, 1851) ",4430505,
,Malthodes corsicus,"Malthodes corsicus Kiesenwetter, 1871",4430688,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes corsicus,Malthodes corsicus,"Kiesenwetter, 1871",4430688,
,Malthodes cruciferarum,"Malthodes cruciferarum Kiesenwetter, 1866",4430610,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes cruciferarum,Malthodes cruciferarum,"Kiesenwetter, 1866",4430610,
,Malthodes cyphonurus,"Malthodes cyphonurus Kiesenwetter, 1861",4430587,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes cyphonurus,Malthodes cyphonurus,"Kiesenwetter, 1861",4430587,
,Malthodes cypricus,"Malthodes cypricus Pic, 1911",4430572,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes cypricus,Malthodes cypricus,"Pic, 1911",4430572,
,Malthodes forcipifer,"Malthodes forcipifer Kiesenwetter, 1852",9257042,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes forcipifer,Malthodes forcipifer,"Kiesenwetter, 1852",9257042,
,Malthodes genistae,"Malthodes genistae Kiesenwetter, 1866",4430556,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes genistae,Malthodes genistae,"Kiesenwetter, 1866",4430556,
